store_nbr,abs_mae_resid
44,50.413962874979674
47,45.54787967098835
45,40.70771776950889
46,37.70134273062516
49,35.02686638565
48,31.567914341381986
40,30.235835668738225
3,29.251830378014724
39,28.22864929114385
52,25.50761332481126
51,25.30959044258383
28,25.293337904133438
50,25.24192193012384
38,24.498643580914738
21,23.631597894306772
11,23.50046625922759
8,23.06881496826131
43,22.01780493396775
41,21.68967826533293
20,20.387784652487635
54,20.221850433037176
9,19.32816722880609
42,19.154741613546904
7,18.95141654602394
27,18.854722127102143
31,18.312200735303662
30,18.002588946196333
24,17.70837970992928
37,17.45825044983046
25,17.25226878346216
6,17.24610404888591
29,17.161724438566456
2,16.790547475488133
33,16.701204909622945
1,16.189405335918806
4,15.693589891812527
14,15.142408582463263
32,15.103344290867385
53,15.088970160920221
18,14.401145526078327
22,14.385093836074436
36,14.365798801834869
5,13.999238902882146
17,13.816437363686285
34,13.79532595867499
19,13.24410456945225
16,13.17901894928596
12,12.99025208172781
13,12.70327821281019
26,12.054614344072485
23,11.626696930039472
35,11.470587128089026
10,11.422288666923741
15,11.3488364032668
