iter	Passed	Remaining
535	124332	107631
536	124574	107408
537	124825	107192
538	125049	106953
539	125317	106751
540	125572	106539
541	125753	106263
542	125957	106008
543	126210	105793
544	126401	105527
545	126588	105258
546	126848	105049
547	127029	104775
548	127270	104552
549	127508	104325
550	127771	104118
551	128019	103899
552	128223	103645
553	128434	103396
554	128662	103162
555	128849	102894
556	129091	102670
557	129338	102450
558	129793	102395
559	130071	102199
560	130325	101983
561	130574	101764
562	130800	101527
563	131082	101333
564	131309	101097
565	131578	100892
566	131779	100635
567	132014	100405
568	132240	100167
569	132492	99950
570	132733	99724
571	132971	99495
572	133214	99271
573	133460	99049
574	133655	98788
575	133845	98524
576	134019	98250
577	134265	98027
578	134510	97804
579	134751	97578
580	134994	97354
581	135223	97119
582	135418	96860
583	135678	96647
584	135881	96394
585	136132	96175
586	136434	95992
587	136714	95793
588	136959	95569
589	137147	95305
590	137407	95092
591	137597	94830
592	137853	94614
593	138053	94360
594	138301	94138
595	138508	93888
596	138690	93621
597	138935	93397
598	139123	93136
599	139394	92929
600	139603	92681
601	139858	92464
602	140065	92215
603	140318	91997
604	140572	91778
605	140773	91526
606	141023	91305
607	141265	91079
608	141512	90856
609	141752	90628
610	141951	90375
611	142135	90111
612	142360	89875
613	142601	89648
614	142838	89419
615	143094	89201
616	143338	88976
617	143611	88769
618	143854	88543
619	144103	88321
620	144343	88093
621	144577	87861
622	144803	87625
623	145001	87372
624	145266	87159
625	145519	86940
626	145768	86716
627	146013	86491
628	146212	86239
629	146435	86001
630	146660	85764
631	146919	85548
632	147170	85326
633	147361	85070
634	147616	84850
635	147871	84630
636	148071	84379
637	148254	84119
638	148445	83863
639	148643	83611
640	148892	83389
641	149142	83166
642	149404	82951
643	149661	82731
644	149924	82516
645	150135	82272
646	150388	82051
647	150592	81803
648	150835	81576
649	151034	81326
650	151274	81097
651	151513	80869
652	151701	80612
653	151928	80378
654	152194	80163
655	152449	79942
656	152693	79716
657	152882	79461
658	153072	79207
659	153266	78955
660	153504	78725
661	153736	78493
662	153922	78238
663	154156	78007
664	154353	77756
665	154598	77531
666	154840	77304
667	155078	77074
668	155310	76842
669	155532	76605
670	155775	76378
671	155954	76120
672	156205	75897
673	156441	75667
674	156678	75438
675	156926	75213
676	157113	74959
677	157343	74726
678	157519	74467
679	157715	74218
680	157977	74001
681	158179	73755
682	158411	73523
683	158654	73296
684	158840	73043
685	159030	72792
686	159269	72563
687	159546	72352
688	159817	72138
689	159998	71883
690	160236	71654
691	160485	71429
692	160720	71199
693	160953	70967
694	161146	70718
695	161410	70501
696	161633	70265
697	161838	70021
698	162099	69802
699	162345	69576
700	162556	69335
701	162789	69104
702	163042	68881
703	163231	68631
704	163479	68406
705	163726	68180
706	163943	67942
707	164194	67718
708	164397	67474
709	164631	67244
710	164861	67011
711	165115	66788
712	165355	66559
713	165541	66309
714	165735	66062
715	165927	65814
716	166184	65592
717	166375	65345
718	166578	65102
719	166786	64861
720	166998	64622
721	167291	64414
722	167638	64226
723	167872	63995
724	168167	63787
725	168352	63538
726	168588	63307
727	169007	63145
728	169255	62919
729	169514	62696
730	169780	62477
731	170058	62262
732	170292	62030
733	170546	61805
734	170837	61594
735	171079	61365
736	171351	61147
737	171781	60984
738	172107	60784
739	172373	60563
740	172633	60340
741	172865	60106
742	173120	59881
743	173424	59672
744	173767	59477
745	173964	59232
746	174181	58993
747	174442	58769
748	174708	58547
749	174904	58301
750	175237	58101
751	175533	57888
752	175777	57658
753	175980	57415
754	176354	57227
755	176612	57001
756	176896	56784
757	177108	56543
758	177309	56299
759	177590	56081
760	177846	55854
761	178094	55625
762	178390	55410
763	178707	55202
764	178971	54978
765	179205	54744
766	179459	54516
767	179709	54287
768	179967	54060
769	180142	53808
770	180470	53602
771	180746	53381
772	180971	53144
773	181220	52914
774	181519	52699
775	181724	52456
776	181976	52227
777	182219	51995
778	182488	51771
779	182729	51539
780	183002	51315
781	183207	51073
782	183482	50850
783	183670	50603
784	183905	50369
785	184153	50138
786	184443	49919
787	184708	49693
788	184903	49448
789	185169	49222
790	185364	48977
791	185601	48743
792	185925	48532
793	186109	48285
794	186386	48061
795	186598	47821
796	186840	47589
797	187127	47368
798	187391	47141
799	187637	46909
800	187848	46668
801	188112	46441
802	188368	46212
803	188579	45972
804	188818	45738
805	189015	45494
806	189252	45261
807	189698	45076
808	189977	44852
809	190218	44619
810	190478	44390
811	190736	44160
812	190993	43930
813	191206	43690
814	191440	43455
815	191698	43226
816	191899	42983
817	192184	42759
818	192415	42524
819	192721	42304
820	192998	42078
821	193291	41856
822	193585	41633
823	193794	41393
824	194035	41159
825	194300	40930
826	194547	40697
827	194753	40456
828	195105	40244
829	195411	40024
830	195613	39781
831	195851	39546
832	196037	39301
833	196298	39071
834	196530	38835
835	196777	38602
836	197019	38368
837	197292	38140
838	197548	37908
839	197808	37677
840	198009	37435
841	198225	37196
842	198506	36969
843	198766	36738
844	199049	36512
845	199297	36278
846	199545	36045
847	199838	35820
848	200171	35601
849	200461	35375
850	200754	35149
851	200959	34908
852	201138	34662
853	201384	34428
854	201678	34202
855	201840	33954
856	202115	33725
857	202379	33494
858	202675	33268
859	202902	33030
860	203213	32806
861	203504	32579
862	203771	32348
863	204016	32113
864	204257	31878
865	204441	31634
866	204689	31399
867	204913	31161
868	205117	30921
869	205371	30687
870	205636	30455
871	205817	30211
872	206053	29975
873	206283	29738
874	206503	29500
875	206744	29265
876	207011	29033
877	207277	28801
878	207482	28561
879	207748	28329
880	207938	28086
881	208197	27854
882	208448	27619
883	208729	27389
884	208990	27156
885	209351	26936
886	209742	26720
887	210021	26489
888	210352	26264
889	210647	26035
890	210882	25798
891	211142	25564
892	211404	25330
893	211676	25098
894	211889	24858
895	212170	24626
896	212459	24396
897	212709	24160
898	212966	23926
899	213259	23695
900	213451	23453
901	213716	23219
902	213967	22984
903	214156	22742
904	214389	22504
905	214624	22267
906	214831	22027
907	215107	21795
908	215361	21559
909	215639	21326
910	215866	21089
911	216110	20852
912	216416	20622
913	216623	20382
914	216852	20144
915	217081	19907
916	217366	19674
917	217724	19448
918	217967	19211
919	218192	18973
920	218450	18737
921	218739	18505
922	218949	18265
923	219251	18033
924	219528	17799
925	219813	17566
926	220089	17331
927	220337	17095
928	220627	16861
929	220832	16621
930	221035	16381
931	221307	16146
932	221584	15912
933	221859	15677
934	222079	15438
935	222337	15202
936	222604	14967
937	222818	14727
938	223024	14488
939	223275	14251
940	223548	14016
941	223862	13783
942	224116	13546
943	224316	13306
944	224540	13068
945	224839	12834
946	225057	12595
947	225307	12358
948	225503	12118
949	225726	11880
950	225986	11643
951	226246	11407
952	226477	11169
953	226722	10932
954	226972	10695
955	227259	10459
956	227505	10222
957	227706	9982
958	227900	9743
959	228128	9505
960	228361	9267
961	228595	9029
962	228838	8792
963	229071	8554
964	229316	8317
965	229563	8079
966	229786	7841
967	230030	7604
968	230208	7364
969	230478	7128
970	230751	6891
971	230951	6652
972	231156	6414
973	231331	6175
974	231695	5940
975	231964	5704
976	232202	5466
977	232479	5229
978	232760	4992
979	233056	4756
980	233277	4518
981	233526	4280
982	233724	4042
983	233988	3804
984	234238	3567
985	234491	3329
986	234737	3091
987	234976	2853
988	235170	2615
989	235428	2378
990	235689	2140
991	235866	1902
992	236106	1664
993	236415	1427
994	236693	1189
995	236938	951
996	237199	713
997	237480	475
998	237730	237
999	237955	0
