fold,train_end,val_end,n_train,n_val,rmse,mae,smape
1,2017-07-18,2017-07-25,2801304,12474,70.42038293207581,16.964394186418414,51.65491190965766
2,2017-07-25,2017-08-01,2813778,12474,64.54109335090405,19.14811335897517,51.97491244246337
3,2017-08-01,2017-08-08,2826252,12474,57.84425264695013,19.4353696900737,51.7759865022511
4,2017-08-08,2017-08-15,2838726,12474,55.311427279538435,18.080893143028376,52.54009563173114
